tmdbId,guideBoxId,title,year,genre,rating,director,actors,poster,backdrop,trailer,plot,rec1,rec2,rec3,created_at
11,55413,"Star Wars: Episode IV - A New Hope",1977,"Action, Adventure, Fantasy",PG,"George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",https://image.tmdb.org/t/p/w500/tvSlBzAdRE29bZe5yYWrJ2ds137.jpg,https://image.tmdb.org/t/p/original/4iJfYYoQzZcONB9hNzg0J0wWyPH.jpg,https://www.youtube.com/embed/vZ734NWnAHA?rel=0&autoplay=1,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.","The Empire Strikes Back, 1891, https://image.tmdb.org/t/p/w500/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg","Return of the Jedi, 1892, https://image.tmdb.org/t/p/w500/jx5p0aHlbPXqe3AH9G15NvmWaqQ.jpg","Star Wars: Episode I - The Phantom Menace, 1893, https://image.tmdb.org/t/p/w500/n8V09dDc02KsSN6Q4hC2BX6hN8X.jpg","2017-05-15 11:10:06"
129,13996,"Spirited Away",2001,"Animation, Adventure, Family",PG,"Hayao Miyazaki","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô",https://image.tmdb.org/t/p/w500/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,https://image.tmdb.org/t/p/original/mnpRKVSXBX6jb56nabvmGKA0Wig.jpg,https://www.youtube.com/embed/0lzccY1-PNs?rel=0&autoplay=1,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Howl's Moving Castle, 4935, https://image.tmdb.org/t/p/w500/iMarB2ior30OAXjPa7QIdeyUfM1.jpg","Princess Mononoke, 128, https://image.tmdb.org/t/p/w500/gzlJkVfWV5VEG5xK25cvFGJgkDz.jpg","My Neighbor Totoro, 8392, https://image.tmdb.org/t/p/w500/2i0OOjvi7CqNQA6ZtYJtL65P9oZ.jpg","2017-05-15 11:10:06"
238,37865,"The Godfather",1972,"Crime, Drama",R,"Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",https://image.tmdb.org/t/p/w500/rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg,https://image.tmdb.org/t/p/original/6xKCYgH16UuwEGAyroLU6p8HLIn.jpg,"Sorry, No trailer is currently available","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","The Godfather: Part II, 240, https://image.tmdb.org/t/p/w500/bVq65huQ8vHDd1a4Z37QtuyEvpA.jpg","The Godfather: Part III, 242, https://image.tmdb.org/t/p/w500/1hdm3Axw9LjITbApvAXBbqO58zE.jpg","GoodFellas, 769, https://image.tmdb.org/t/p/w500/hAPeXBdGDGmXRPj4OZZ0poH65Iu.jpg","2017-05-15 11:10:06"
274,76254,"The Silence of the Lambs",1991,"Crime, Drama, Thriller",R,"Jonathan Demme","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",https://image.tmdb.org/t/p/w500/qjAyTj2BSth1EQ89vNfo0JYVPFN.jpg,https://image.tmdb.org/t/p/original/upTn8UYt1n92opIEIyzh8HljB0F.jpg,https://www.youtube.com/embed/W6Mm8Sbe__o?rel=0&autoplay=1,"A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.","Hannibal, 9740, https://image.tmdb.org/t/p/w500/v5wAZwRqpGWmyAaaJ8BBHYuNXnj.jpg","Red Dragon, 9533, https://image.tmdb.org/t/p/w500/sULs7GLEM2tqNBwE5ac5d6FRlBR.jpg","The Sixth Sense, 745, https://image.tmdb.org/t/p/w500/imps263dHNe3SuoaAJORZyNTdDT.jpg","2017-05-15 11:10:06"
348,34532,Alien,1979,"Horror, Sci-Fi",R,"Ridley Scott","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton",https://image.tmdb.org/t/p/w500/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg,https://image.tmdb.org/t/p/original/si4PH5RjbpdQZi3BQvV6eiBNjYD.jpg,https://www.youtube.com/embed/097uj1HjkbM?rel=0&autoplay=1,"After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source moon finds one of the crew attacked by a mysterious life-form, and soon realize that its life cycle has merely begun.","Aliens, 679, https://image.tmdb.org/t/p/w500/nORMXEkYEbzkU5WkMWMgRDJwjSZ.jpg","Alien³, 8077, https://image.tmdb.org/t/p/w500/p7mUd9GpmCYV5qhkKGmiEerFK3i.jpg","Alien: Resurrection, 8078, https://image.tmdb.org/t/p/w500/39WJ2YoLoWyDHxpTIwWT7AOKtZT.jpg","2017-05-15 11:12:33"
395,12034,"AVP: Alien vs. Predator",2004,"Action, Horror, Sci-Fi",PG-13,"Paul W.S. Anderson","Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner",https://image.tmdb.org/t/p/w500/9xzRKUBIqLwhhOYtcE7P1BbWXP9.jpg,https://image.tmdb.org/t/p/original/1vRCFWKPydH82T1wsPMYkRjcZXY.jpg,https://www.youtube.com/embed/gDMa68ptp2w?rel=0&autoplay=1,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.","Aliens vs Predator: Requiem, 440, https://image.tmdb.org/t/p/w500/bpA5nTpqb6qLWYwmyN61dViKrRt.jpg","Predator 2, 169, https://image.tmdb.org/t/p/w500/4cAQgbIPislEeBJahLO5BsqAUZN.jpg","Alien: Resurrection, 8078, https://image.tmdb.org/t/p/w500/39WJ2YoLoWyDHxpTIwWT7AOKtZT.jpg","2017-05-15 11:12:28"
429,24276,"The Good, the Bad and the Ugly",1966,Western,APPROVED,"Sergio Leone","Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè",https://image.tmdb.org/t/p/w500/wfPHdfofBD5PN96dV96a51B3Ja2.jpg,https://image.tmdb.org/t/p/original/xGC2fY5KFmtuXnsuQwYQKFOLZFy.jpg,https://www.youtube.com/embed/WCN5JJY_wiA?rel=0&autoplay=1,"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","For a Few Dollars More, 938, https://image.tmdb.org/t/p/w500/o4y1dlqXFETChi1QW2TspfrCJ8e.jpg","A Fistful of Dollars, 391, https://image.tmdb.org/t/p/w500/sFLgxvtK9vxbNq502peVJ847Owp.jpg","Once Upon a Time in the West, 335, https://image.tmdb.org/t/p/w500/giwzmbbRZDva184wBOHDXlrmBa3.jpg","2017-05-15 11:10:06"
433,62075,"Mary Poppins",1964,"Comedy, Family, Fantasy",G,"Robert Stevenson","Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns",https://image.tmdb.org/t/p/w500/cjIIKTkeE8eKAmYULEZg6wKPZVe.jpg,https://image.tmdb.org/t/p/original/7DbgR36Sct5gcyEAzoM8bqiTYUV.jpg,https://www.youtube.com/embed/cXMvCTLIaqM?rel=0&autoplay=1,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","The Sound of Music, 15121, https://image.tmdb.org/t/p/w500/459fPVvI4lkEV0piSfcq0irKHi8.jpg","Fantasia, 756, https://image.tmdb.org/t/p/w500/mSJgxrTaTgDSOoggIPcj3ZoZswT.jpg","Sleeping Beauty, 10882, https://image.tmdb.org/t/p/w500/iFJGafuB2f2IJWG2EmdtUpgfAn6.jpg","2017-05-15 11:10:06"
521,28388,"Dial M for Murder",1954,"Crime, Film-Noir, Thriller",PG,"Alfred Hitchcock","Ray Milland, Grace Kelly, Robert Cummings, John Williams",https://image.tmdb.org/t/p/w500/xrpK1PyckNWmRxU4kZURfaCyboS.jpg,https://image.tmdb.org/t/p/original/kmSrCmhF3mB15woqQ7z3Y4UGRwr.jpg,https://www.youtube.com/embed/urIXnyF0aJ0?rel=0&autoplay=1,"An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.","Strangers on a Train, 845, https://image.tmdb.org/t/p/w500/akslUekHOWvE0UFBVb4GRkxRRoi.jpg","Rope, 1580, https://image.tmdb.org/t/p/w500/9UlEZpKqJPoaFu1OfHM3BohSRUo.jpg","Notorious, 303, https://image.tmdb.org/t/p/w500/pi5YexkEQ9BZIWovB5SyPmjCBjG.jpg","2017-05-15 11:10:06"
599,11250,"Sunset Boulevard",1950,"Drama, Film-Noir",PASSED,"Billy Wilder","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",https://image.tmdb.org/t/p/w500/oFwzvRgfxJc0FUr2mwYTi10dk3G.jpg,https://image.tmdb.org/t/p/original/49OTCCPYlARRe2JS1PAhPJmFkIW.jpg,https://www.youtube.com/embed/klM1GSJsblQ?rel=0&autoplay=1,"A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.","Witness for the Prosecution, 37257, https://image.tmdb.org/t/p/w500/heY0CCUqN4DY3X30thssZkvWZwx.jpg","The Apartment, 284, https://image.tmdb.org/t/p/w500/8nrQKQjD6z0SJouKHQapXzmjFc6.jpg","Double Indemnity, 996, https://image.tmdb.org/t/p/w500/q6Zs4YMbIBuEfCHCtufwPOkyIVz.jpg","2017-05-15 11:10:06"
