"tmdbId","guideBoxId","title","year","genre","director","actors","poster","trailer","rec1","rec2","rec3","created_at"
321612,42116,"Beauty and the Beast",1991,"Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","http://image.tmdb.org/t/p/w185/tWqifoYuwLETmmasnGHO7xBjEtt.jpg","https://www.youtube.com/watch?v=tWapqpCEO7Y","Fantastic Beasts and Where to Find Them, 259316, http://image.tmdb.org/t/p/w500/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg","La La Land, 313369, http://image.tmdb.org/t/p/w500/ylXCdC106IKiarftHkcacasaAcb.jpg","Moana, 277834, http://image.tmdb.org/t/p/w500/z4x0Bp48ar3Mda8KiPD1vwSY3D8.jpg","2017-05-08 18:35:27"
11072,30577,"Blazing Saddles",1974,"Comedy, Western","Mel Brooks","Cleavon Little, Gene Wilder, Slim Pickens, Harvey Korman","http://image.tmdb.org/t/p/w185/yccgwPNVaqtgS1d0U5jjM6Mnza8.jpg","https://www.youtube.com/watch?v=VKayG1TrfuE","The Jerk, 6471, http://image.tmdb.org/t/p/w500/wb6mB6R9vscPhyAegbbNDFZUAIs.jpg","History of the World: Part I, 10156, http://image.tmdb.org/t/p/w500/6jOfKftlw1M5cT2oijL3U1Lt6Up.jpg","Young Frankenstein, 3034, http://image.tmdb.org/t/p/w500/a3Bj2ht6liBFafNM46hqk9WEhcY.jpg","2017-05-08 18:03:34"
4133,34901,"Blow",2001,"Biography, Crime, Drama","Ted Demme","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths","http://image.tmdb.org/t/p/w185/yCLLbZzAa7jreGus7pvjZmL0bj7.jpg","https://www.youtube.com/watch?v=q8lGHQn_n9Y","Donnie Brasco, 9366, http://image.tmdb.org/t/p/w500/niqDLxwZ6GF0GLKUlkdKnOWfsvb.jpg","Fear and Loathing in Las Vegas, 1878, http://image.tmdb.org/t/p/w500/u9ffgobMADj6GCafeImbov566j9.jpg","Casino, 524, http://image.tmdb.org/t/p/w500/xo517ibXBDdYQY81j0WIG7BVcWq.jpg","2017-05-08 18:02:52"
28297,27698,"Brute Force",1947,"Crime, Drama, Film-Noir","Jules Dassin","Burt Lancaster, Hume Cronyn, Charles Bickford, Yvonne De Carlo","http://image.tmdb.org/t/p/w185/84GJMnVF6bd0bRi1BhfQxfKa3G4.jpg","https://www.youtube.com/watch?v=uTn6pHKVpNc","Thieves' Highway, 20025, http://image.tmdb.org/t/p/w500/7Uuo6XYndgG8BHOdhB64GPsVP6W.jpg","The Mask of Dimitrios, 35006, http://image.tmdb.org/t/p/w500/cgGZV924cBloldp5bsZeZJ4ze9n.jpg","Criss Cross, 22112, http://image.tmdb.org/t/p/w500/jLmg6PbiOzLtbv7f5l5KSk1Fm5V.jpg","2017-05-08 18:30:30"
271110,87457,"Captain America",1990,"Action, Adventure, Sci-Fi","Albert Pyun","Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin","http://image.tmdb.org/t/p/w185/kSBXou5Ac7vEqKd97wotJumyJvU.jpg","https://www.youtube.com/watch?v=43NWzay3W4s","X-Men: Apocalypse, 246655, http://image.tmdb.org/t/p/w500/zSouWWrySXshPCT4t3UKCQGayyo.jpg","Batman v Superman: Dawn of Justice, 209112, http://image.tmdb.org/t/p/w500/cGOPbv9wA5gEejkUN892JrveARt.jpg","Deadpool, 293660, http://image.tmdb.org/t/p/w500/inVq3FRqcYIRl2la8iZikYYxFNR.jpg","2017-05-08 18:29:03"
920,71875,"Cars",2006,"Animation, Adventure, Comedy","John Lasseter, Joe Ranft","Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy","http://image.tmdb.org/t/p/w185/5damnMcRFKSjhCirgX3CMa88MBj.jpg","https://www.youtube.com/watch?v=SbXIj2T-_uk","Cars 2, 49013, http://image.tmdb.org/t/p/w500/AblhtULOVtrkSnFxRPQ8gBemxw9.jpg","Madagascar, 953, http://image.tmdb.org/t/p/w500/2YiESGB68BGQSAFvfJxBi774sc4.jpg","Monsters, Inc., 585, http://image.tmdb.org/t/p/w500/93Y9BGx8blzmZOPSoivkFfaifqU.jpg","2017-05-08 18:06:43"
49013,49419,"Cars 2",2011,"Animation, Adventure, Comedy","John Lasseter, Brad Lewis","Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer","http://image.tmdb.org/t/p/w185/AblhtULOVtrkSnFxRPQ8gBemxw9.jpg","https://www.youtube.com/watch?v=zGeLIDJ9zEk","Cars, 920, http://image.tmdb.org/t/p/w500/5damnMcRFKSjhCirgX3CMa88MBj.jpg","Madagascar: Escape 2 Africa, 10527, http://image.tmdb.org/t/p/w500/9mohxwknsHcwFBSAAhoQXwFV5zn.jpg","Madagascar 3: Europe's Most Wanted, 80321, http://image.tmdb.org/t/p/w500/wd7NcMifnuf66gD2Fm7Tzz3yJ54.jpg","2017-05-08 18:06:54"
150689,121371,"Cinderella",2015,"Drama, Family, Fantasy","Kenneth Branagh","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter","http://image.tmdb.org/t/p/w185/o1F2aloaOUufHHOsV0laA9aw9N0.jpg","https://www.youtube.com/watch?v=n44EWI92Tc8","Into the Woods, 224141, http://image.tmdb.org/t/p/w500/5h91odPFNlBuJbRBj5N4MEBfXDE.jpg","Maleficent, 102651, http://image.tmdb.org/t/p/w500/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg","The Age of Adaline, 293863, http://image.tmdb.org/t/p/w500/gEDGROZ4NQDlRjUPPSSyIf0hKvD.jpg","2017-05-08 18:02:44"
339967,151219,"Colossal",2016,"Action, Comedy, Sci-Fi","Nacho Vigalondo","Dan Stevens, Anne Hathaway, Jason Sudeikis, Tim Blake Nelson","http://image.tmdb.org/t/p/w185/4VOyofBd1pexblxtDZYtYIk7NI4.jpg","https://www.youtube.com/watch?v=ojLzEjAN5xE","Like Me, 378631, http://image.tmdb.org/t/p/w500/ta85pTRAEDBv3C52uOF5r5hmzWr.jpg","Phoenix Forgotten, 443319, http://image.tmdb.org/t/p/w500/p2Tcj6wYdZKjabBd4AVwCU5FyIA.jpg","Free Fire, 334521, http://image.tmdb.org/t/p/w500/zSVRoZMce3skt6qR6JSD0IXQ8af.jpg","2017-05-08 18:23:20"
521,28388,"Dial M for Murder",1954,"Crime, Film-Noir, Thriller","Alfred Hitchcock","Ray Milland, Grace Kelly, Robert Cummings, John Williams","http://image.tmdb.org/t/p/w185/xrpK1PyckNWmRxU4kZURfaCyboS.jpg","https://www.youtube.com/watch?v=urIXnyF0aJ0","Strangers on a Train, 845, http://image.tmdb.org/t/p/w500/akslUekHOWvE0UFBVb4GRkxRRoi.jpg","Rope, 1580, http://image.tmdb.org/t/p/w500/9UlEZpKqJPoaFu1OfHM3BohSRUo.jpg","Notorious, 303, http://image.tmdb.org/t/p/w500/pi5YexkEQ9BZIWovB5SyPmjCBjG.jpg","2017-05-08 18:31:48"
334521,151555,"Free Fire",2016,"Action, Crime, Thriller","Ben Wheatley","Enzo Cilenti, Sam Riley, Michael Smiley, Brie Larson","http://image.tmdb.org/t/p/w185/zSVRoZMce3skt6qR6JSD0IXQ8af.jpg","https://www.youtube.com/watch?v=G_yyIfhhR8I","Table 19, 353569, http://image.tmdb.org/t/p/w500/vz0CWnSwcQz1si7pLZp4hC4A1zi.jpg","Unlocked, 291276, http://image.tmdb.org/t/p/w500/fBDLdEraxCBKGmOPb6pJPYiDQh1.jpg","The Belko Experiment, 341006, http://image.tmdb.org/t/p/w500/knAqP7qDos8sWQpmPiGYFYwbdcK.jpg","2017-05-08 18:23:04"
